product_name,review
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"Alhamdulillah unit sudah mendarat dengan aman, packing nya mantb puol, unit fisiknya bagus ,battery juga lumayan awet, penjual komunikatif,, pokoknya recommended,next bel..."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Barang termasuk mulus, saya cek normal, semoga awet. Packingnya juga bagus banget. Bakal langganan disni, makasih banyak kak 🙏🙏🙏"
ThinkPad T470 T460 / Thinkpad T460 T470 / thinkpad T470 T460 / T460 T470,"kondisi mulus, sellernya ramah, puas akan pelayanannya  , sukses utk jualannya"
ThinkPad X380 X390 YOGA i7 8th / ThinkPad X390 X380 Yoga i5 8th / thinkpad X390 yoga X380 yoga / thinkpad yoga,"sesuai bintang bintang yang bertebaran rekomendasi toko ini.jg ragu yg mau beli disini
barang masih mulus fungsi baik"
Thinkpad X395 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad X395 Ryzen 5 PRO 3500U / thinkpad X395,"overall barang bagus dan spesifikasi sesuai. tes layar, keyboard, performa, batre oke semua, barang lecet pemakaian gores gores bukan penyok, packing aman banget buble wa..."
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"saya suka beli leptop di seller yg ini pengiriman nya cepet, bungkus nya aman dn rapi. top deh pokok nya
boleh deh jadi langanan."
ThinkPad T14 Gen 2 Intel / T14 Gen 1 / thinkpad T14 G1 G2 Intel / T14,"Produknya bagus, sesuai. Seller amanah 👍"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Walaupun Second tp masih oke bangetz, seller ramah responsif mau bantu segalanya. Kondisi barang datang mulus, packing rapi tebal aman lah pokoknya. Recommend klo mau bel..."
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,mantep banget barangnya..ada video durasi lama Karen saya pastikan sambil unboxing
Thinkpad T14s Gen 2 Intel Ryzen / Thinkpad T14s Gen 1 Ryzen Intel / thinkpad T14s,"Maaf baru sempet review, mantap tidak ada kendala"
Thinkpad L380 L390 Core i7 16GB 512GB / ThinkPad L480 L490 i5 i7 8th / thinkpad,"penjual sangat sangat sangat ramah, packing sangat aman. sudah diinstall aplikasi standar."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"sesuai deskripsi, setelah di install ulang tidak ada kendala, suara agak ngresek dikit, batre kurang max... tp its oke"
